2019-08-02 09:23:27.824 logback [main] INFO  com.jindi.land.LandApplication - Starting LandApplication on localhost with PID 18496 (/Users/mac/work/source/idea/java1.8/landCraw/target/classes started by mac in /Users/mac/work/source/idea/java1.8/landCraw)
2019-08-02 09:23:35.856 logback [pool-2-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:35.938 logback [pool-5-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 青海省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:35.970 logback [pool-5-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - failed proxy=http://27.209.251.23:43431
2019-08-02 09:23:35.973 logback [pool-3-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 黑龙江省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:36.052 logback [pool-4-thread-5] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://125.106.136.94:4376
2019-08-02 09:23:36.160 logback [pool-4-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://60.178.25.83:4325
2019-08-02 09:23:36.321 logback [pool-3-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://36.56.150.37:4376
2019-08-02 09:23:36.444 logback [pool-3-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.444 logback [pool-3-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:36.470 logback [pool-5-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://117.91.130.187:4364
2019-08-02 09:23:36.470 logback [pool-3-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 贵州省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=2
2019-08-02 09:23:36.498 logback [pool-4-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:36.499 logback [pool-4-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 福建省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:36.521 logback [pool-4-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 福建省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
